posts,language,query,time
100,SQL with joins,one blogpost,0.006049000000000859
100,SQL Materialized View,one blogpost,0.0026954000000003475
100,SQL without joins,one blogpost,0.0018638000000024135
100,SQL without joins,one blogpost,0.0011164000000007945
100,SQL without joins,one blogpost,0.0011121999999978982
100,MongoDB,one blogpost,0.0001564000000016108
100,SQL with joins,one blogpost,0.002630399999997479
100,SQL Materialized View,one blogpost,0.0033956000000010533
100,SQL without joins,one blogpost,0.0014222000000003732
100,SQL without joins,one blogpost,0.0009823000000004356
100,SQL without joins,one blogpost,0.0010221000000001368
100,MongoDB,one blogpost,4.38000000002603e-05
100,SQL with joins,one blogpost,0.0030828999999990003
100,SQL Materialized View,one blogpost,0.0016449999999998965
100,SQL without joins,one blogpost,0.001386400000001231
100,SQL without joins,one blogpost,0.0011945999999980472
100,SQL without joins,one blogpost,0.0010254000000031738
100,MongoDB,one blogpost,4.38000000002603e-05
100,SQL with joins,one blogpost,0.003528899999999169
100,SQL Materialized View,one blogpost,0.0016633000000005893
100,SQL without joins,one blogpost,0.0014082000000001926
100,SQL without joins,one blogpost,0.0010204999999992026
100,SQL without joins,one blogpost,0.0010891000000015083
100,MongoDB,one blogpost,4.829999999955703e-05
100,SQL with joins,one blogpost,0.003314399999997164
100,SQL Materialized View,one blogpost,0.0016230000000021505
100,SQL without joins,one blogpost,0.0015548000000009665
100,SQL without joins,one blogpost,0.0010763000000011402
100,SQL without joins,one blogpost,0.0011076000000009856
100,MongoDB,one blogpost,4.8700000000678756e-05
100,SQL,by tag,0.002709199999998191
100,SQL Materialized View,by tag,0.0016081999999997265
100,MongoDB,by tag,4.850000000189425e-05
100,SQL,by tag,0.0023212000000008004
100,SQL Materialized View,by tag,0.0016592000000024143
100,MongoDB,by tag,4.8800000001847366e-05
100,SQL,by tag,0.002632399999999535
100,SQL Materialized View,by tag,0.0014889999999994075
100,MongoDB,by tag,7.719999999977745e-05
100,SQL,by tag,0.0037440999999986957
100,SQL Materialized View,by tag,0.0015444000000002234
100,MongoDB,by tag,4.8499999998341536e-05
100,SQL,by tag,0.0024532999999991034
100,SQL Materialized View,by tag,0.001544899999998961
100,MongoDB,by tag,4.660000000100695e-05
100,SQL,by comment author,0.0020063999999990756
100,SQL with Index,by comment author,0.0015388000000022828
100,MongoDB,by comment author,5.189999999899442e-05
100,SQL,by comment author,0.0016457999999985873
100,SQL with Index,by comment author,0.0018421000000010679
100,MongoDB,by comment author,4.839999999717293e-05
100,SQL,by comment author,0.0021348999999979412
100,SQL with Index,by comment author,0.0014687999999978274
100,MongoDB,by comment author,5.040000000278155e-05
100,SQL,by comment author,0.001839700000001443
100,SQL with Index,by comment author,0.0015604000000024598
100,MongoDB,by comment author,5.8899999999084685e-05
100,SQL,by comment author,0.002171700000001664
100,SQL with Index,by comment author,0.0018528000000017641
100,MongoDB,by comment author,9.010000000131413e-05
200,SQL with joins,one blogpost,0.005497699999999384
200,SQL Materialized View,one blogpost,0.0017071999999984655
200,SQL without joins,one blogpost,0.001373999999998432
200,SQL without joins,one blogpost,0.0012066999999973405
