posts,language,query,time
100,SQL with joins,one blogpost,0.005594700000000508
100,SQL Materialized View,one blogpost,0.0017624999999998892
100,SQL without joins,one blogpost,0.001385899999999829
100,SQL without joins,one blogpost,0.0010137999999999536
100,SQL without joins,one blogpost,0.001421099999999953
100,MongoDB,one blogpost,0.6435362000000007
100,SQL with joins,one blogpost,0.003397100000000819
100,SQL Materialized View,one blogpost,0.0016870000000004381
100,SQL without joins,one blogpost,0.001564600000000027
100,SQL without joins,one blogpost,0.0010915000000011332
100,SQL without joins,one blogpost,0.0011406999999987733
100,MongoDB,one blogpost,0.2818377000000005
100,SQL with joins,one blogpost,0.004134600000000432
100,SQL Materialized View,one blogpost,0.0024134999999994022
100,SQL without joins,one blogpost,0.001774700000000351
100,SQL without joins,one blogpost,0.0017452000000002243
100,SQL without joins,one blogpost,0.0013777999999984303
100,MongoDB,one blogpost,0.2632242999999992
100,SQL with joins,one blogpost,0.004173500000000274
100,SQL Materialized View,one blogpost,0.002097199999999688
100,SQL without joins,one blogpost,0.0015702999999991363
100,SQL without joins,one blogpost,0.0010753000000001123
100,SQL without joins,one blogpost,0.0011176999999999992
100,MongoDB,one blogpost,0.2930601999999993
100,SQL with joins,one blogpost,0.0035537000000012142
100,SQL Materialized View,one blogpost,0.0020954999999993618
100,SQL without joins,one blogpost,0.0014415999999997098
100,SQL without joins,one blogpost,0.0009285000000005539
100,SQL without joins,one blogpost,0.0009616000000001179
100,MongoDB,one blogpost,0.24733569999999894
100,SQL,by tag,0.0029306999999985095
100,SQL Materialized View,by tag,0.0016657000000002142
100,MongoDB,by tag,0.263902100000001
100,SQL,by tag,0.0026159999999997297
100,SQL Materialized View,by tag,0.0017162000000006117
100,MongoDB,by tag,0.2685707999999991
100,SQL,by tag,0.0027455000000013996
100,SQL Materialized View,by tag,0.0017218999999997209
100,MongoDB,by tag,0.25283950000000033
100,SQL,by tag,0.0068526000000002085
100,SQL Materialized View,by tag,0.0016464999999996621
100,MongoDB,by tag,0.29177480000000067
100,SQL,by tag,0.0038522000000007495
100,SQL Materialized View,by tag,0.00241340000000001
100,MongoDB,by tag,0.32287400000000055
100,SQL,by comment author,0.0017331000000009311
100,SQL with Index,by comment author,0.001704099999999542
100,MongoDB,by comment author,0.3078582000000001
100,SQL,by comment author,0.0017281999999987363
100,SQL with Index,by comment author,0.0019060999999993555
100,MongoDB,by comment author,0.2476319999999994
100,SQL,by comment author,0.0017349000000006498
100,SQL with Index,by comment author,0.0014711999999992287
100,MongoDB,by comment author,0.2748404999999998
100,SQL,by comment author,0.0017436000000010665
100,SQL with Index,by comment author,0.0016446999999999434
100,MongoDB,by comment author,0.2627152000000006
100,SQL,by comment author,0.0045631999999997674
100,SQL with Index,by comment author,0.0015620999999992335
100,MongoDB,by comment author,0.3490961000000006
100,SQL with joins,one blogpost,0.006381800000001547
100,SQL Materialized View,one blogpost,0.0035244999999992643
100,SQL without joins,one blogpost,0.0017519000000003615
100,SQL without joins,one blogpost,0.0011404000000005965
100,SQL without joins,one blogpost,0.001286699999999641
100,MongoDB,one blogpost,0.2712381999999991
100,SQL with joins,one blogpost,0.004054899999999861
100,SQL Materialized View,one blogpost,0.002008899999999869
100,SQL without joins,one blogpost,0.0016008000000002909
100,SQL without joins,one blogpost,0.0011256999999993411
100,SQL without joins,one blogpost,0.001165900000000164
100,MongoDB,one blogpost,0.23950410000000133
100,SQL with joins,one blogpost,0.003140399999999488
100,SQL Materialized View,one blogpost,0.0017256999999997191
100,SQL without joins,one blogpost,0.0015007999999987476
100,SQL without joins,one blogpost,0.0010850999999991728
100,SQL without joins,one blogpost,0.00121120000000019
100,MongoDB,one blogpost,0.2763521999999998
100,SQL with joins,one blogpost,0.003242500000000703
100,SQL Materialized View,one blogpost,0.0017228999999989725
100,SQL without joins,one blogpost,0.0015482999999996139
100,SQL without joins,one blogpost,0.0010092000000003765
100,SQL without joins,one blogpost,0.001292599999999311
100,MongoDB,one blogpost,0.26059370000000115
100,SQL with joins,one blogpost,0.0040031999999996515
100,SQL Materialized View,one blogpost,0.0021340000000016346
100,SQL without joins,one blogpost,0.0016025999999982332
100,SQL without joins,one blogpost,0.0010961000000015986
100,SQL without joins,one blogpost,0.0009985000000014566
100,MongoDB,one blogpost,0.26992509999999825
100,SQL,by tag,0.0024143000000016457
100,SQL Materialized View,by tag,0.0018145999999994444
100,MongoDB,by tag,0.32014959999999704
100,SQL,by tag,0.00291880000000333
100,SQL Materialized View,by tag,0.0014892000000017447
100,MongoDB,by tag,0.25963080000000005
100,SQL,by tag,0.002213600000001037
100,SQL Materialized View,by tag,0.0015030000000031407
100,MongoDB,by tag,0.2816346000000003
100,SQL,by tag,0.0032885999999976434
100,SQL Materialized View,by tag,0.0018277999999973815
100,MongoDB,by tag,0.28464930000000166
100,SQL,by tag,0.002275099999998531
100,SQL Materialized View,by tag,0.0015186999999983186
100,MongoDB,by tag,0.26385850000000133
100,SQL,by comment author,0.0015314000000010708
100,SQL with Index,by comment author,0.0014862999999998294
100,MongoDB,by comment author,0.2911301999999978
100,SQL,by comment author,0.0017429999999976076
100,SQL with Index,by comment author,0.001489199999998192
100,MongoDB,by comment author,0.2907972000000001
100,SQL,by comment author,0.002837700000000609
100,SQL with Index,by comment author,0.0018749000000006788
100,MongoDB,by comment author,0.29645220000000094
100,SQL,by comment author,0.0020664999999979727
100,SQL with Index,by comment author,0.0020199000000005185
100,MongoDB,by comment author,0.30116119999999924
100,SQL,by comment author,0.002002900000000807
100,SQL with Index,by comment author,0.001649999999997931
100,MongoDB,by comment author,0.31523719999999855
100,SQL with joins,one blogpost,0.009470400000001433
100,SQL Materialized View,one blogpost,0.0020367999999990616
100,SQL without joins,one blogpost,0.0017716999999990435
100,SQL without joins,one blogpost,0.0012944000000025824
100,SQL without joins,one blogpost,0.0012004000000018777
100,MongoDB,one blogpost,0.24802239999999998
100,SQL with joins,one blogpost,0.007597399999998089
100,SQL Materialized View,one blogpost,0.0024725999999972714
100,SQL without joins,one blogpost,0.0022998000000029606
100,SQL without joins,one blogpost,0.0013156000000016377
100,SQL without joins,one blogpost,0.0012285999999974706
100,MongoDB,one blogpost,0.26363819999999905
100,SQL with joins,one blogpost,0.0034425999999996293
100,SQL Materialized View,one blogpost,0.0018425999999998055
100,SQL without joins,one blogpost,0.00208690000000189
100,SQL without joins,one blogpost,0.0010878999999981431
100,SQL without joins,one blogpost,0.0013769000000003473
100,MongoDB,one blogpost,0.3178440999999985
100,SQL with joins,one blogpost,0.004476199999999153
100,SQL Materialized View,one blogpost,0.0022556999999991945
100,SQL without joins,one blogpost,0.002414299999998093
100,SQL without joins,one blogpost,0.0011580999999978303
100,SQL without joins,one blogpost,0.0011989000000021122
100,MongoDB,one blogpost,0.26043029999999945
100,SQL with joins,one blogpost,0.008760200000001106
100,SQL Materialized View,one blogpost,0.002152499999997559
100,SQL without joins,one blogpost,0.0020433000000004142
100,SQL without joins,one blogpost,0.0011812000000013256
100,SQL without joins,one blogpost,0.001135200000000225
100,MongoDB,one blogpost,0.24895950000000155
100,SQL,by tag,0.0031139000000024453
100,SQL Materialized View,by tag,0.002731400000001827
100,MongoDB,by tag,0.3114758000000002
100,SQL,by tag,0.002926900000002064
100,SQL Materialized View,by tag,0.002156599999999287
100,MongoDB,by tag,0.27315280000000186
100,SQL,by tag,0.0037197999999989406
100,SQL Materialized View,by tag,0.0018901999999982877
100,MongoDB,by tag,0.2798437000000007
100,SQL,by tag,0.004533299999998519
100,SQL Materialized View,by tag,0.0017785000000003492
100,MongoDB,by tag,0.24744480000000024
100,SQL,by tag,0.002725299999998043
100,SQL Materialized View,by tag,0.001748899999999054
100,MongoDB,by tag,0.29657789999999906
100,SQL,by comment author,0.0016044999999991205
100,SQL with Index,by comment author,0.0015700999999985754
100,MongoDB,by comment author,0.3071142000000009
100,SQL,by comment author,0.0018960000000021182
100,SQL with Index,by comment author,0.001601200000003189
100,MongoDB,by comment author,0.2766473000000005
100,SQL,by comment author,0.001988699999998289
100,SQL with Index,by comment author,0.0017646999999989532
100,MongoDB,by comment author,0.2513298000000006
100,SQL,by comment author,0.002408800000001321
100,SQL with Index,by comment author,0.001908300000000196
100,MongoDB,by comment author,0.2624795000000013
100,SQL,by comment author,0.003316999999999126
100,SQL with Index,by comment author,0.0015663000000003535
100,MongoDB,by comment author,0.26515039999999956
100,SQL with joins,one blogpost,0.0043480999999978565
100,SQL Materialized View,one blogpost,0.001862600000002601
100,SQL without joins,one blogpost,0.0017091999999969687
100,SQL without joins,one blogpost,0.0010826000000001557
100,SQL without joins,one blogpost,0.0010286999999991053
100,MongoDB,one blogpost,0.2778753999999992
100,SQL with joins,one blogpost,0.005094599999999616
100,SQL Materialized View,one blogpost,0.002051700000002654
100,SQL without joins,one blogpost,0.0015331000000031736
100,SQL without joins,one blogpost,0.0011197000000002788
100,SQL without joins,one blogpost,0.0010396999999997547
100,MongoDB,one blogpost,0.26680059999999983
100,SQL with joins,one blogpost,0.004128800000000155
100,SQL Materialized View,one blogpost,0.002373799999997317
100,SQL without joins,one blogpost,0.0016698999999995578
100,SQL without joins,one blogpost,0.0009122999999995329
100,SQL without joins,one blogpost,0.0008812999999996407
100,MongoDB,one blogpost,0.2870159000000001
100,SQL with joins,one blogpost,0.004175599999999946
100,SQL Materialized View,one blogpost,0.0021476000000006934
100,SQL without joins,one blogpost,0.00152699999999939
100,SQL without joins,one blogpost,0.0011531999999974119
100,SQL without joins,one blogpost,0.0010134000000014964
100,MongoDB,one blogpost,0.3024276999999991
100,SQL with joins,one blogpost,0.005974300000001875
100,SQL Materialized View,one blogpost,0.0018688999999980638
100,SQL without joins,one blogpost,0.0017469000000005508
100,SQL without joins,one blogpost,0.001011200000000656
100,SQL without joins,one blogpost,0.001002799999998416
100,MongoDB,one blogpost,0.2731324999999991
100,SQL,by tag,0.002563500000000829
100,SQL Materialized View,by tag,0.00159410000000193
100,MongoDB,by tag,0.3089019999999998
100,SQL,by tag,0.002683099999998717
100,SQL Materialized View,by tag,0.0018767000000003975
100,MongoDB,by tag,0.2767243999999991
100,SQL,by tag,0.004733899999997959
100,SQL Materialized View,by tag,0.0022590000000022314
100,MongoDB,by tag,0.2952565999999983
100,SQL,by tag,0.004313099999997405
100,SQL Materialized View,by tag,0.0025847999999975
100,MongoDB,by tag,0.28852449999999763
100,SQL,by tag,0.004145499999999913
100,SQL Materialized View,by tag,0.0022817000000010523
100,MongoDB,by tag,0.3292439999999992
100,SQL,by comment author,0.002250100000001254
100,SQL with Index,by comment author,0.0015365000000002738
100,MongoDB,by comment author,0.29423160000000337
100,SQL,by comment author,0.0023849000000026876
100,SQL with Index,by comment author,0.0015805000000028713
100,MongoDB,by comment author,0.2520967999999968
100,SQL,by comment author,0.0018811999999996942
100,SQL with Index,by comment author,0.0017104000000003339
100,MongoDB,by comment author,0.23929140000000615
100,SQL,by comment author,0.002068000000001291
100,SQL with Index,by comment author,0.0017455999999995697
100,MongoDB,by comment author,0.2733532999999966
100,SQL,by comment author,0.0017983000000043603
100,SQL with Index,by comment author,0.001758600000002275
100,MongoDB,by comment author,0.29281879999999916
100,SQL with joins,one blogpost,0.004354000000006408
100,SQL Materialized View,one blogpost,0.0019307999999966796
100,SQL without joins,one blogpost,0.001673100000004979
100,SQL without joins,one blogpost,0.000988599999999451
100,SQL without joins,one blogpost,0.0012107000000014523
100,MongoDB,one blogpost,0.2981118000000009
100,SQL with joins,one blogpost,0.00457670000000121
100,SQL Materialized View,one blogpost,0.0019137000000029047
100,SQL without joins,one blogpost,0.0017155000000030896
100,SQL without joins,one blogpost,0.0009890000000041255
100,SQL without joins,one blogpost,0.0009840999999966016
100,MongoDB,one blogpost,0.25530420000000476
100,SQL with joins,one blogpost,0.0032935000000051673
100,SQL Materialized View,one blogpost,0.0018391999999991526
100,SQL without joins,one blogpost,0.001682999999999879
100,SQL without joins,one blogpost,0.0011127000000001885
100,SQL without joins,one blogpost,0.000985800000002257
100,MongoDB,one blogpost,0.24781880000000456
100,SQL with joins,one blogpost,0.0037221000000045024
100,SQL Materialized View,one blogpost,0.002017799999997294
100,SQL without joins,one blogpost,0.0017369999999985453
100,SQL without joins,one blogpost,0.0010930999999985147
100,SQL without joins,one blogpost,0.0011480999999946562
100,MongoDB,one blogpost,0.24904799999999483
100,SQL with joins,one blogpost,0.0034015000000024997
100,SQL Materialized View,one blogpost,0.0017544000000029314
100,SQL without joins,one blogpost,0.0015283000000039237
100,SQL without joins,one blogpost,0.0009117999999972426
100,SQL without joins,one blogpost,0.000953199999997878
100,MongoDB,one blogpost,0.2504702000000023
100,SQL,by tag,0.0036450999999999567
100,SQL Materialized View,by tag,0.0019099999999951933
100,MongoDB,by tag,0.30359760000000335
100,SQL,by tag,0.0027828999999996995
100,SQL Materialized View,by tag,0.001656699999998068
100,MongoDB,by tag,0.31525519999999574
100,SQL,by tag,0.004066000000001679
100,SQL Materialized View,by tag,0.0016383999999973753
100,MongoDB,by tag,0.2978784000000019
100,SQL,by tag,0.004273200000000088
100,SQL Materialized View,by tag,0.001699800000004359
100,MongoDB,by tag,0.26106519999999733
100,SQL,by tag,0.0025559999999984484
100,SQL Materialized View,by tag,0.001633699999999294
100,MongoDB,by tag,0.3069416000000018
100,SQL,by comment author,0.0020317999999974745
100,SQL with Index,by comment author,0.0016327000000018188
100,MongoDB,by comment author,0.28870400000000274
100,SQL,by comment author,0.0018749999999982947
100,SQL with Index,by comment author,0.0036400999999983696
100,MongoDB,by comment author,0.2919283999999962
100,SQL,by comment author,0.001835900000003221
100,SQL with Index,by comment author,0.001569999999993854
100,MongoDB,by comment author,0.3261400999999964
100,SQL,by comment author,0.002372000000001151
100,SQL with Index,by comment author,0.0015712999999948352
100,MongoDB,by comment author,0.28250339999999596
100,SQL,by comment author,0.0028598000000030765
100,SQL with Index,by comment author,0.002932000000001267
100,MongoDB,by comment author,0.3050933000000029
100,SQL with joins,one blogpost,0.005476100000002759
100,SQL Materialized View,one blogpost,0.0020547999999962485
100,SQL without joins,one blogpost,0.001791799999999455
100,SQL without joins,one blogpost,0.0010170999999985497
100,SQL without joins,one blogpost,0.0009760000000014202
100,MongoDB,one blogpost,0.25345500000000243
100,SQL with joins,one blogpost,0.0050707000000045355
100,SQL Materialized View,one blogpost,0.0017926000000016984
100,SQL without joins,one blogpost,0.0016663000000036732
