posts,language,query,time
100,SQL with joins,one blogpost,0.016418999999999073
100,SQL without joins,one blogpost,0.008213300000001311
100,MongoDB,one blogpost,0.00013640000000236796
100,SQL with joins,one blogpost,0.006765800000000155
100,SQL without joins,one blogpost,0.008678099999997357
100,MongoDB,one blogpost,4.8700000000678756e-05
100,SQL with joins,one blogpost,0.0064211000000007346
100,SQL without joins,one blogpost,0.009307599999999638
100,MongoDB,one blogpost,5.200000000016303e-05
100,SQL with joins,one blogpost,0.003647300000000797
100,SQL without joins,one blogpost,0.006625500000001949
100,MongoDB,one blogpost,4.57000000011476e-05
100,SQL with joins,one blogpost,0.005593900000000929
100,SQL without joins,one blogpost,0.006334800000001195
100,MongoDB,one blogpost,4.96000000005381e-05
100,SQL,by tag,0.005671799999998228
100,MongoDB,by tag,7.879999999715892e-05
100,SQL,by tag,0.005209399999998254
100,MongoDB,by tag,4.290000000040095e-05
100,SQL,by tag,0.011044999999999305
100,MongoDB,by tag,7.570000000001187e-05
100,SQL,by tag,0.005452099999999405
100,MongoDB,by tag,5.040000000278155e-05
100,SQL,by tag,0.004916200000000259
100,MongoDB,by tag,4.979999999932261e-05
100,SQL,by comment author,0.005495500000002096
100,MongoDB,by comment author,4.689999999740735e-05
100,SQL,by comment author,0.0037680999999984977
100,MongoDB,by comment author,6.259999999969068e-05
100,SQL,by comment author,0.004683399999997562
100,MongoDB,by comment author,6.10999999999251e-05
100,SQL,by comment author,0.004172699999998031
100,MongoDB,by comment author,6.420000000062487e-05
100,SQL,by comment author,0.005065800000000564
100,MongoDB,by comment author,5.039999999922884e-05
200,SQL with joins,one blogpost,0.010287800000000402
200,SQL without joins,one blogpost,0.008636199999997984
200,MongoDB,one blogpost,4.929999999347956e-05
200,SQL with joins,one blogpost,0.007460100000002967
200,SQL without joins,one blogpost,0.01011880000000076
200,MongoDB,one blogpost,4.8599999999510146e-05
200,SQL with joins,one blogpost,0.007069199999996556
200,SQL without joins,one blogpost,0.010453599999998175
200,MongoDB,one blogpost,9.680000000145128e-05
200,SQL with joins,one blogpost,0.006350099999998804
200,SQL without joins,one blogpost,0.009480799999998624
200,MongoDB,one blogpost,9.130000000112659e-05
200,SQL with joins,one blogpost,0.007140700000000777
200,SQL without joins,one blogpost,0.009599500000000205
200,MongoDB,one blogpost,7.169999999945276e-05
200,SQL,by tag,0.006063499999996225
200,MongoDB,by tag,5.030000000516566e-05
200,SQL,by tag,0.005048800000004405
200,MongoDB,by tag,4.8200000001941135e-05
200,SQL,by tag,0.004723400000003153
200,MongoDB,by tag,5.030000000516566e-05
200,SQL,by tag,0.005504600000001858
200,MongoDB,by tag,4.1899999999372994e-05
200,SQL,by tag,0.005250500000002489
200,MongoDB,by tag,4.8800000001847366e-05
200,SQL,by comment author,0.0038704000000038263
200,MongoDB,by comment author,5.000000000165983e-05
200,SQL,by comment author,0.0037370999999950527
200,MongoDB,by comment author,4.990000000049122e-05
200,SQL,by comment author,0.004267900000002101
200,MongoDB,by comment author,5.240000000128475e-05
200,SQL,by comment author,0.00388929999999732
200,MongoDB,by comment author,4.7699999996098086e-05
200,SQL,by comment author,0.003791599999999562
200,MongoDB,by comment author,4.989999999338579e-05
