posts,language,query,time
100,SQL with joins,one blogpost,0.009010400000001084
100,SQL without joins,one blogpost,0.00856849999999909
100,MongoDB,one blogpost,0.00023579999999867596
100,SQL with joins,one blogpost,0.007286699999998092
100,SQL without joins,one blogpost,0.008612700000000473
100,MongoDB,one blogpost,4.819999999838842e-05
100,SQL with joins,one blogpost,0.0071814000000003375
100,SQL without joins,one blogpost,0.009793399999999508
100,MongoDB,one blogpost,5.0599999998013345e-05
100,SQL with joins,one blogpost,0.006985300000000194
100,SQL without joins,one blogpost,0.011368900000000792
100,MongoDB,one blogpost,7.839999999958991e-05
100,SQL with joins,one blogpost,0.006922900000002841
100,SQL without joins,one blogpost,0.009774800000002415
100,MongoDB,one blogpost,4.9999999998107114e-05
100,SQL,by tag,0.0059898000000018214
100,MongoDB,by tag,4.939999999820088e-05
100,SQL,by tag,0.005194700000000552
100,MongoDB,by tag,7.580000000118048e-05
100,SQL,by tag,0.006219299999997929
100,MongoDB,by tag,4.900000000063187e-05
100,SQL,by tag,0.005278099999998176
100,MongoDB,by tag,7.989999999935549e-05
100,SQL,by tag,0.00507040000000103
100,MongoDB,by tag,7.009999999851857e-05
100,SQL,by comment author,0.004021399999999176
100,MongoDB,by comment author,4.4700000000119644e-05
100,SQL,by comment author,0.003657499999999203
100,MongoDB,by comment author,4.420000000138202e-05
100,SQL,by comment author,0.0038424999999975284
100,MongoDB,by comment author,4.149999999825127e-05
100,SQL,by comment author,0.0040332000000020685
100,MongoDB,by comment author,4.7999999999603915e-05
100,SQL,by comment author,0.003692699999998439
100,MongoDB,by comment author,4.949999999936949e-05
200,SQL with joins,one blogpost,0.010079499999996244
200,SQL without joins,one blogpost,0.009343600000001118
200,MongoDB,one blogpost,5.110000000030368e-05
200,SQL with joins,one blogpost,0.0070974999999933175
200,SQL without joins,one blogpost,0.010513699999997073
200,MongoDB,one blogpost,4.7999999999603915e-05
200,SQL with joins,one blogpost,0.008848900000003823
200,SQL without joins,one blogpost,0.011418400000003714
200,MongoDB,one blogpost,4.7999999999603915e-05
200,SQL with joins,one blogpost,0.008752099999995266
200,SQL without joins,one blogpost,0.00977820000000662
200,MongoDB,one blogpost,4.539999999764177e-05
200,SQL with joins,one blogpost,0.009110700000000804
200,SQL without joins,one blogpost,0.010090900000001568
200,MongoDB,one blogpost,4.559999999997899e-05
200,SQL,by tag,0.005763500000000477
200,MongoDB,by tag,5.170000000020991e-05
200,SQL,by tag,0.005395900000003451
200,MongoDB,by tag,4.8499999998341536e-05
200,SQL,by tag,0.005352000000002022
200,MongoDB,by tag,4.510000000124137e-05
200,SQL,by tag,0.005312500000002274
200,MongoDB,by tag,4.500000000007276e-05
200,SQL,by tag,0.005499499999999102
200,MongoDB,by tag,4.429999999899792e-05
200,SQL,by comment author,0.004134700000001601
200,MongoDB,by comment author,5.679999999586016e-05
200,SQL,by comment author,0.004190899999997555
200,MongoDB,by comment author,4.7500000000866294e-05
200,SQL,by comment author,0.004454700000003697
200,MongoDB,by comment author,4.440000000016653e-05
